행정동_명칭,행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
당산2동,407336384,18035045.0,69116.0,15369.0,6991.0,4306.0,9482.0,204341.0,497894.0,1411844.0,1857007.0,1086756.0,778798.0,780756.0,842301.0,851788.0,823052.0,874194.0,1000235.0,1344084.0,1836104.0,1033604.0,809396.0,837041.0,702298.0,358288.0
대림1동,407341480,1774035.0,4571.0,496.0,179.0,179.0,23287.0,38880.0,54419.0,129610.0,162238.0,125811.0,111843.0,109789.0,105613.0,93727.0,101377.0,115571.0,114027.0,135333.0,104903.0,72112.0,51473.0,49259.0,53706.0,15632.0
대림2동,407341844,1550447.0,8633.0,1674.0,564.0,319.0,17267.0,30718.0,34187.0,65466.0,102677.0,73306.0,67157.0,70774.0,72614.0,76372.0,81321.0,91166.0,105468.0,133968.0,151324.0,110951.0,77910.0,76946.0,67149.0,32516.0
대림3동,407342208,12904872.0,19978.0,1844.0,626.0,1002.0,14681.0,537994.0,544181.0,1112081.0,1567397.0,1051142.0,668667.0,611613.0,649530.0,647096.0,623667.0,649045.0,711640.0,881336.0,963562.0,542278.0,402364.0,337552.0,245421.0,120175.0
대방동,407704752,15689667.0,23685.0,340.0,161.0,232.0,14350.0,259590.0,547100.0,1467473.0,2040696.0,1250747.0,811534.0,764280.0,810656.0,781047.0,764194.0,815814.0,946446.0,972302.0,1189077.0,675773.0,510469.0,477463.0,391246.0,174992.0
대조동,404789112,10796448.0,25228.0,4447.0,1578.0,939.0,31401.0,185391.0,352914.0,900577.0,1068614.0,662771.0,521764.0,528526.0,580698.0,593071.0,605493.0,670640.0,752643.0,752860.0,792483.0,539736.0,422552.0,385440.0,289219.0,127463.0
대치1동,408793840,4610907.0,36973.0,6134.0,1731.0,898.0,5908.0,20374.0,50955.0,185557.0,235539.0,185320.0,152061.0,159842.0,226995.0,272687.0,250540.0,285768.0,355919.0,403374.0,367875.0,309883.0,235345.0,310915.0,447199.0,103115.0
대치2동,408800756,27150232.0,66069.0,8910.0,3018.0,2149.0,8550.0,116856.0,333252.0,737325.0,963360.0,719959.0,638783.0,792284.0,989236.0,1205736.0,1353594.0,1693607.0,2072228.0,3325482.0,4464543.0,2356710.0,1775319.0,1707545.0,1465814.0,349903.0
대치4동,408794932,23160438.0,68220.0,10209.0,6393.0,5208.0,14916.0,90268.0,212982.0,511062.0,786744.0,639218.0,591453.0,710505.0,876790.0,1003838.0,1100222.0,1377177.0,1760765.0,2712839.0,4083956.0,2043116.0,1363588.0,1462186.0,1318731.0,410052.0
대학동,408070572,9118250.0,21371.0,266.0,220.0,117.0,34572.0,120460.0,221372.0,427779.0,566793.0,480587.0,389512.0,400027.0,512436.0,548620.0,517821.0,629228.0,724013.0,851809.0,845723.0,517780.0,412240.0,374809.0,351877.0,168818.0
대흥동,405517840,13144785.0,46232.0,8991.0,4530.0,3342.0,12865.0,126046.0,274272.0,743662.0,1054083.0,674772.0,535431.0,578954.0,727744.0,777220.0,718576.0,830379.0,966846.0,1168785.0,1160475.0,727473.0,597849.0,624218.0,556918.0,225122.0
도곡1동,408796024,7837032.0,26186.0,4695.0,2047.0,2201.0,5176.0,58212.0,166087.0,415767.0,561599.0,406100.0,320423.0,324629.0,349630.0,385494.0,411270.0,462099.0,540975.0,756737.0,1118107.0,472344.0,342681.0,363247.0,248294.0,93032.0
도곡2동,408796388,9223380.0,17382.0,2972.0,1232.0,897.0,3268.0,45364.0,190318.0,492636.0,675605.0,441773.0,346260.0,366903.0,433137.0,456297.0,466958.0,581345.0,703680.0,925189.0,996347.0,582535.0,507938.0,442116.0,435054.0,108174.0
도림동,407343300,1666467.0,2828.0,64.0,0.0,0.0,5195.0,14947.0,75228.0,204396.0,249212.0,160909.0,100017.0,84540.0,88556.0,83188.0,76852.0,74115.0,81064.0,91176.0,89717.0,57641.0,43887.0,40730.0,29151.0,13054.0
도봉1동,404063296,3623884.0,7074.0,3696.0,3587.0,15954.0,79242.0,65745.0,124816.0,277573.0,345432.0,231880.0,179876.0,170247.0,185014.0,206891.0,209411.0,224481.0,249154.0,250339.0,272246.0,190341.0,126713.0,104549.0,75164.0,24459.0
도봉2동,404063660,7952384.0,28799.0,4639.0,289.0,45.0,10053.0,180156.0,404165.0,1057299.0,950091.0,552904.0,403193.0,379962.0,406725.0,417411.0,431526.0,470247.0,509177.0,472897.0,445255.0,285061.0,185486.0,157485.0,127292.0,72227.0
도화동,405523300,2462207.0,20034.0,2023.0,1096.0,1354.0,4279.0,17631.0,49415.0,136832.0,190358.0,126733.0,107726.0,116051.0,123060.0,130673.0,133160.0,141719.0,155842.0,180175.0,220992.0,161871.0,128947.0,129934.0,114093.0,68209.0
독산1동,406970928,8509691.0,12120.0,428.0,263.0,267.0,27220.0,134421.0,306251.0,829484.0,858098.0,510914.0,360994.0,344620.0,379466.0,381643.0,371338.0,416851.0,481277.0,750650.0,902940.0,547719.0,337153.0,272687.0,198589.0,84298.0
독산2동,406971292,3161442.0,9014.0,1300.0,1206.0,713.0,63407.0,115370.0,144146.0,333304.0,374830.0,243376.0,172354.0,153148.0,156692.0,155841.0,142264.0,147208.0,158171.0,179465.0,189215.0,139973.0,95539.0,87004.0,65265.0,32637.0
독산3동,406971656,5113917.0,16819.0,4529.0,3704.0,5621.0,91662.0,183018.0,208917.0,438726.0,533249.0,384739.0,270559.0,246006.0,253825.0,256383.0,241458.0,266207.0,289694.0,326411.0,341979.0,273681.0,173315.0,146777.0,107227.0,49411.0
독산4동,406972020,3595999.0,15747.0,2705.0,1804.0,1057.0,62771.0,116872.0,131458.0,271395.0,312749.0,221421.0,173457.0,167560.0,187664.0,180375.0,170686.0,173366.0,199463.0,260266.0,303731.0,222811.0,151983.0,130403.0,92260.0,43995.0
돈암1동,403333112,4754964.0,26696.0,5983.0,1260.0,892.0,66257.0,72456.0,116516.0,279279.0,395582.0,287872.0,232052.0,220913.0,227826.0,231469.0,225128.0,288302.0,322971.0,311854.0,368145.0,301414.0,217798.0,209157.0,220120.0,125022.0
돈암2동,403333476,1817854.0,1089.0,14.0,14.0,6.0,5019.0,30870.0,84111.0,220038.0,210804.0,152077.0,125615.0,114587.0,116121.0,110724.0,99391.0,98811.0,104859.0,99823.0,91544.0,56654.0,36220.0,28688.0,21173.0,9602.0
동선동,403342212,6018133.0,102043.0,26205.0,6837.0,5849.0,32742.0,56250.0,91034.0,197860.0,325484.0,233455.0,212234.0,234649.0,278924.0,299541.0,315543.0,354569.0,393689.0,426506.0,497311.0,444832.0,390647.0,435770.0,405348.0,250811.0
동화동,401154572,2841301.0,8563.0,813.0,156.0,183.0,260.0,37911.0,79160.0,187579.0,266231.0,174229.0,137089.0,134585.0,131614.0,141602.0,139605.0,141052.0,167016.0,197553.0,325112.0,201804.0,127827.0,109463.0,89204.0,42690.0
둔촌1동,409525480,3589617.0,4655.0,204.0,6.0,0.0,28.0,50914.0,128435.0,331026.0,384221.0,225350.0,170517.0,172700.0,179308.0,179769.0,178908.0,199898.0,272314.0,276238.0,309553.0,163644.0,122775.0,115836.0,89140.0,34178.0
둔촌2동,409525844,5471071.0,11011.0,438.0,1.0,0.0,3557.0,48673.0,208475.0,600751.0,627768.0,381514.0,296854.0,279008.0,272118.0,231284.0,282078.0,324215.0,343115.0,396719.0,397262.0,251173.0,163054.0,154256.0,137910.0,59837.0
