,연도,구별,동별,인구밀도
795,2019,관악구,인헌동,25081
796,2019,관악구,남현동,5804
797,2019,관악구,서원동,37028
798,2019,관악구,신원동,35895
799,2019,관악구,서림동,24585
800,2019,관악구,신사동,40563
801,2019,관악구,신림동,41713
802,2019,관악구,난향동,20493
803,2019,관악구,조원동,29222
804,2019,관악구,대학동,2947
805,2019,관악구,은천동,45304
806,2019,관악구,성현동,45846
807,2019,관악구,청룡동,29186
808,2019,관악구,난곡동,30117
809,2019,관악구,삼성동,9483
810,2019,관악구,미성동,23733
812,2019,서초구,서초1동,15196
813,2019,서초구,서초2동,15191
814,2019,서초구,서초3동,10563
815,2019,서초구,서초4동,36350
816,2019,서초구,잠원동,19961
817,2019,서초구,반포본동,12069
818,2019,서초구,반포1동,33237
819,2019,서초구,반포2동,12137
820,2019,서초구,반포3동,15930
821,2019,서초구,반포4동,14148
822,2019,서초구,방배본동,32216
823,2019,서초구,방배1동,25034
824,2019,서초구,방배2동,10859
825,2019,서초구,방배3동,9356
826,2019,서초구,방배4동,24574
827,2019,서초구,양재1동,7976
828,2019,서초구,양재2동,3056
829,2019,서초구,내곡동,1457
831,2019,강남구,신사동,9284
832,2019,강남구,논현1동,19034
833,2019,강남구,논현2동,14901
834,2019,강남구,삼성1동,7691
835,2019,강남구,삼성2동,24737
836,2019,강남구,대치1동,32028
837,2019,강남구,대치4동,28523
838,2019,강남구,역삼1동,15746
839,2019,강남구,역삼2동,32466
840,2019,강남구,도곡1동,22182
841,2019,강남구,도곡2동,33762
842,2019,강남구,개포1동,5449
843,2019,강남구,개포4동,12352
844,2019,강남구,일원본동,9457
845,2019,강남구,일원1동,17867
846,2019,강남구,일원2동,14645
847,2019,강남구,수서동,11143
848,2019,강남구,세곡동,7086
849,2019,강남구,압구정동,10953
850,2019,강남구,청담동,12927
851,2019,강남구,대치2동,19324
852,2019,강남구,개포2동,8784
854,2019,송파구,풍납1동,20153
855,2019,송파구,풍납2동,15904
856,2019,송파구,거여1동,25924
857,2019,송파구,거여2동,31926
858,2019,송파구,마천1동,35800
