구별,동별,연도,면적
성동구,왕십리2동,2020,0.41
성동구,왕십리2동,2021,0.41
성동구,왕십리2동,2022,0.41
성동구,왕십리도선동,2018,0.72
성동구,왕십리도선동,2019,0.72
성동구,왕십리도선동,2020,0.72
성동구,왕십리도선동,2021,0.72
성동구,왕십리도선동,2022,0.72
성동구,용답동,2018,2.32
성동구,용답동,2019,2.32
성동구,용답동,2020,2.31
성동구,용답동,2021,2.31
성동구,용답동,2022,2.31
성동구,응봉동,2018,0.57
성동구,응봉동,2019,0.57
성동구,응봉동,2020,0.57
성동구,응봉동,2021,0.57
성동구,응봉동,2022,0.57
성동구,행당1동,2018,0.59
성동구,행당1동,2019,0.59
성동구,행당1동,2020,0.59
성동구,행당1동,2021,0.59
성동구,행당1동,2022,0.59
성동구,행당2동,2018,0.42
성동구,행당2동,2019,0.42
성동구,행당2동,2020,0.42
성동구,행당2동,2021,0.42
성동구,행당2동,2022,0.42
성북구,길음1동,2018,0.79
성북구,길음1동,2019,0.79
성북구,길음1동,2020,0.79
성북구,길음1동,2021,0.79
성북구,길음1동,2022,0.79
성북구,길음2동,2018,0.58
성북구,길음2동,2019,0.58
성북구,길음2동,2020,0.58
성북구,길음2동,2021,0.58
성북구,길음2동,2022,0.58
성북구,돈암1동,2018,0.49
성북구,돈암1동,2019,0.49
성북구,돈암1동,2020,0.49
성북구,돈암1동,2021,0.49
성북구,돈암1동,2022,0.49
성북구,돈암2동,2018,0.48
성북구,돈암2동,2019,0.48
성북구,돈암2동,2020,0.48
성북구,돈암2동,2021,0.48
성북구,돈암2동,2022,0.48
성북구,동선동,2018,0.73
성북구,동선동,2019,0.73
성북구,동선동,2020,0.73
성북구,동선동,2021,0.73
성북구,동선동,2022,0.73
성북구,보문동,2018,0.56
성북구,보문동,2019,0.56
성북구,보문동,2020,0.56
성북구,보문동,2021,0.56
성북구,보문동,2022,0.56
성북구,삼선동,2018,0.92
성북구,삼선동,2019,0.92
성북구,삼선동,2020,0.92
성북구,삼선동,2021,0.92
성북구,삼선동,2022,0.92
성북구,석관동,2018,1.73
성북구,석관동,2019,1.73
성북구,석관동,2020,1.73
성북구,석관동,2021,1.73
성북구,석관동,2022,1.73
성북구,성북동,2018,2.86
성북구,성북동,2019,2.86
성북구,성북동,2020,2.86
성북구,성북동,2021,2.86
성북구,성북동,2022,2.86
성북구,안암동,2018,1.33
성북구,안암동,2019,1.33
성북구,안암동,2020,1.33
성북구,안암동,2021,1.33
성북구,안암동,2022,1.33
성북구,월곡1동,2018,0.81
성북구,월곡1동,2019,0.81
성북구,월곡1동,2020,0.81
성북구,월곡1동,2021,0.81
성북구,월곡1동,2022,0.81
