,건축물 대장 코드,동이름,건물이름,도로주소,용도,건축면적,대지면적
227,11215-100259684,구의동,구의자이르네,서울특별시 광진구 광나루로39길,공동주택,1890.595,2806.7
228,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
229,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
230,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
231,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
232,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
233,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
234,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
235,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
236,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
237,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
238,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
239,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
240,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
241,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
242,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
243,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
244,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
245,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
246,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
247,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
248,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
249,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
250,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
251,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
252,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
253,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
254,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
255,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
256,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
257,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
258,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
259,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
260,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
261,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
262,11215-100264910,화양동,더 메종 건대,서울특별시 광진구 동일로,공동주택,447.92,751.96
