역명,승차총승객수,하차총승객수
성신여대입구(돈암),10387,10602
길음,8502,8494
미아사거리,14176,13609
미아(서울사이버대학),6519,6499
수유(강북구청),16850,16612
오금,2220,2222
경찰병원,2186,2420
가락시장,3140,3412
수서,9629,8463
일원,2936,3181
대청,3550,3577
학여울,657,704
대치,5248,4598
도곡,1612,1769
매봉,3436,3470
양재(서초구청),10604,12674
남부터미널(예술의전당),12278,11483
교대(법원.검찰청),3241,2139
고속터미널,39814,30429
잠원,1948,2075
신사,11108,10958
압구정,11469,12084
옥수,3919,4299
금호,3556,3472
약수,5491,5522
동대입구,4375,4970
충무로,1,0
을지로3가,2519,2382
종로3가,3043,3936
안국,7682,8406
경복궁(정부서울청사),8101,8467
독립문,3143,3493
무악재,1462,1663
홍제,7597,7319
녹번,6065,5509
불광,8004,9452
연신내,18040,17330
구파발,9439,9582
지축,1728,1656
용두(동대문구청),957,998
신정네거리,4437,4479
양천구청,2756,2825
도림천,379,418
신설동,2298,2550
신답,602,633
용답,1387,1507
충정로(경기대입구),2847,3021
아현,4335,4418
이대,5374,6263
신촌,17755,17927
홍대입구,39667,39606
합정,16022,16990
당산,6727,7314
영등포구청,6306,6771
문래,5972,6236
신도림,21220,21784
대림(구로구청),11906,12223
구로디지털단지,19473,20224
신대방,12379,12956
신림,30662,32909
봉천,9799,10421
서울대입구(관악구청),21118,23761
낙성대(강감찬),12310,14112
사당,16722,18540
방배,5546,5866
서초,9894,9108
교대(법원.검찰청),8357,9224
강남,28851,27608
역삼,9117,10127
선릉,9592,8449
삼성(무역센터),17182,16571
종합운동장,4138,4560
잠실새내,9297,9781
잠실(송파구청),41857,38814
잠실나루,4344,4411
강변(동서울터미널),19839,16427
구의(광진구청),9237,9886
건대입구,22711,24285
성수,10290,11533
뚝섬,7108,7317
한양대,1657,1862
왕십리(성동구청),7469,7281
상왕십리,5766,6122
신당,6697,7268
동대문역사문화공원(DDP),6265,6923
을지로4가,2417,2334
을지로3가,6412,6183
을지로입구,15144,14139
사리,4127,3724
달월,93,50
월곶,2303,2138
소래포구,4292,3950
인천논현,5040,5391
호구포,3659,3909
남동인더스파크,2077,2381
원인재,4017,4254
연수,3975,3941
송도,2161,2102
인하대,5187,4967
숭의,3824,3524
신포,1663,1627
인천,921,1523
산본,14762,15838
대야미,4588,4228
종각,33790,32789
시청,19725,19839
동묘앞,6324,6598
서울역,40413,36361
지평,53,63
용문,1404,1363
원덕,280,257
양평,2861,2852
오빈,262,237
아신,418,437
국수,682,661
신원,169,156
양수,1469,1479
운길산,550,513
팔당,678,728
도심,2228,1680
덕소,5309,5191
양정,695,562
도농,9934,9099
구리,12674,12648
양원,1948,1857
망우,6971,6922
상봉(시외버스터미널),5372,5340
중랑,5238,5083
회기,21202,21240
신창(순천향대),878,1017
온양온천,3026,3094
배방,872,854
탕정,323,319
아산,2579,2168
쌍용(나사렛대),1628,1509
성수,35943,38199
반월,3999,3868
상록수,14420,14771
한대앞,8161,8126
중앙,16326,16577
고잔,8130,7679
초지,4178,4286
안산,10959,9883
신길온천,1531,1433
정왕,7175,7717
오이도,7597,7139
수리산,4025,3312
북한산우이,2818,2548
솔밭공원,2263,2193
봉명,1105,1064
대화,11902,9288
주엽,8419,8316
정발산,6446,6356
마두,6859,7092
백석,9233,9268
대곡,1771,1396
화정,15782,16258
원당,10252,9717
삼송,18098,17920
원흥,9757,9362
신설동,2014,1912
보문,1321,1372
성신여대입구(돈암),2895,3279
4.19민주묘지,2424,2346
가오리,3742,3798
화계,3133,2927
삼양사거리,2324,2370
정릉,4222,4004
북한산보국문,5377,5290
솔샘,5484,5208
뚝섬,20279,21873
한양대,6307,6803
왕십리(성동구청),14002,12003
상왕십리,13203,13173
신당,12336,12754
동대문역사문화공원(DDP),9536,11120
을지로4가,12086,11988
을지로3가,21408,21158
을지로입구,37348,37786
시청,21695,20941
청량리(서울시립대입구),17754,17906
제기동,15506,15998
신설동,12680,12483
동대문,8844,8651
종로5가,20166,19926
종로3가,23162,21718
건대입구,31439,33647
구의(광진구청),22114,22275
강변(동서울터미널),28008,26207
잠실나루,13491,13268
잠실(송파구청),61246,61197
잠실새내,19471,19395
종합운동장,6785,7225
삼성(무역센터),49525,49218
선릉,54376,47992
역삼,51818,56662
강남,82703,79988
교대(법원.검찰청),30745,34149
서초,19508,18809
방배,15296,15833
사당,31943,35058
낙성대(강감찬),24670,24935
서울대입구(관악구청),43068,41647
봉천,22172,21130
신림,58307,57981
