날짜,건국대학교병원,건국대학교사범대학부속중학교,뚝섬1주차장,뚝섬2주차장,뚝섬3주차장,뚝섬4주차장,래미안프리미어팰리스주차장,보건복지행정타운,성진강변스파랜드,스테이더디자이너스군자오피스텔주차장,실로암사우나중곡점주차장,연한빌딩,와이엠프라젠스파,편안한요양병원
04-19-15,84.2185128983308,90.0,62.68656716417911,37.35955056179776,70.53571428571429,95.58823529411764,0.0,100.0,94.9640287769784,76.0,75.38461538461539,40.42553191489361,10.44776119402985,53.84615384615385
04-19-16,67.22306525037936,90.0,55.223880597014926,42.13483146067416,63.39285714285714,88.23529411764706,0.0,100.0,94.9640287769784,76.0,61.53846153846154,31.91489361702128,7.462686567164178,55.38461538461539
04-19-17,43.85432473444613,90.0,55.223880597014926,42.69662921348314,67.85714285714286,75.0,0.0,100.0,94.9640287769784,76.0,66.15384615384615,29.78723404255319,10.44776119402985,47.69230769230769
04-19-18,42.18512898330804,90.0,61.19402985074627,44.662921348314605,73.21428571428571,81.61764705882352,0.0,100.0,94.9640287769784,76.0,67.6923076923077,38.297872340425535,13.432835820895525,38.46153846153847
04-19-19,40.9711684370258,90.0,58.2089552238806,46.06741573033708,61.60714285714286,83.82352941176471,0.0,100.0,94.9640287769784,76.0,60.0,27.659574468085108,10.945273631840797,33.84615384615385
04-19-20,38.998482549317146,90.0,64.17910447761194,44.9438202247191,66.96428571428571,91.91176470588236,0.0,100.0,94.9640287769784,76.0,61.53846153846154,21.27659574468085,7.462686567164178,33.84615384615385
04-19-21,37.025796661608496,90.0,76.11940298507463,47.19101123595505,72.32142857142857,93.38235294117648,0.0,100.0,94.9640287769784,76.0,55.38461538461539,17.02127659574468,4.477611940298507,33.84615384615385
04-19-22,35.66009104704097,90.0,55.223880597014926,41.29213483146067,65.17857142857143,89.70588235294117,0.0,100.0,94.9640287769784,76.0,56.92307692307692,17.02127659574468,1.9900497512437807,32.30769230769231
04-19-23,34.44613050075873,90.0,28.35820895522388,32.30337078651686,52.67857142857143,56.61764705882353,0.0,100.0,94.9640287769784,76.0,56.92307692307692,4.25531914893617,1.4925373134328357,33.84615384615385
04-20-00,33.23216995447648,90.0,26.86567164179105,21.910112359550563,34.82142857142857,47.794117647058826,0.0,100.0,94.9640287769784,76.0,36.92307692307693,4.25531914893617,2.985074626865672,33.84615384615385
04-20-01,32.62518968133536,90.0,22.388059701492537,17.696629213483146,31.25,39.70588235294117,0.0,100.0,94.9640287769784,76.0,38.46153846153847,4.25531914893617,2.985074626865672,33.84615384615385
04-20-02,32.62518968133536,90.0,22.388059701492537,18.25842696629213,25.892857142857142,38.23529411764706,0.0,100.0,94.9640287769784,76.0,38.46153846153847,4.25531914893617,3.9800995024875614,33.84615384615385
